ID,Name,towerLevel,attackDamage,attackRange,Action,attackCount,SplashRadius,AdditionalHitCount,IsCritical,criticalRate,criticalDamage,duration,abilityValue,attackType,targetLayer,buffTarget,debuffTarget,Speed,HitEffectID,TargetPriority
2409,실버 디버프 번개 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Electricity,0,409,Closest
2410,실버 디버프 바람 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Wind,0,410,Closest
2411,실버 디버프 대지 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Earth,0,411,Closest
2412,실버 디버프 빛 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Light,0,412,Closest
2413,실버 디버프 어둠 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Darkness,0,413,Closest
3101,골드 광역 검 타워,1,2,1,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,101,Closest
3102,골드 광역 활 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,102,Closest
3103,골드 광역 방패 타워,1,2,1,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,103,Closest
3104,골드 광역 창 타워,1,2,1,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,104,Closest
3105,골드 광역 도끼 타워,1,2,1,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,105,Closest
3106,골드 광역 해머 타워,1,2,1,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,106,Closest
3107,골드 광역 불 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,107,Closest
3108,골드 광역 얼음 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,108,Closest
3109,골드 광역 번개 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,109,Closest
3110,골드 광역 바람 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,110,Closest
3111,골드 광역 대지 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,111,Closest
3112,골드 광역 빛 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,112,Closest
3113,골드 광역 어둠 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,113,Closest
3201,골드 단일 검 타워,1,2,1,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,201,Closest
3202,골드 단일 활 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,202,Closest
3203,골드 단일 방패 타워,1,2,1,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,203,Closest
3204,골드 단일 창 타워,1,2,1,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,204,Closest
3205,골드 단일 도끼 타워,1,2,1,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,205,Closest
3206,골드 단일 해머 타워,1,2,1,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,206,Closest
3207,골드 단일 불 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,207,Closest
3208,골드 단일 얼음 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,208,Closest
3209,골드 단일 번개 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,209,Closest
3210,골드 단일 바람 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,210,Closest
3211,골드 단일 대지 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,211,Closest
3212,골드 단일 빛 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,212,Closest
3213,골드 단일 어둠 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,213,Closest
3301,골드 버프 검 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Sword,None,0,301,Closest
3302,골드 버프 활 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Bow,None,0,302,Closest
3303,골드 버프 방패 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Shield,None,0,303,Closest
3304,골드 버프 창 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Spear,None,0,304,Closest
3305,골드 버프 도끼 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Axe,None,0,305,Closest
3306,골드 버프 해머 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Hammer,None,0,306,Closest
3307,골드 버프 불 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Fire,None,0,307,Closest
3308,골드 버프 얼음 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Ice,None,0,308,Closest
3309,골드 버프 번개 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Electricity,None,0,309,Closest
3310,골드 버프 바람 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Wind,None,0,310,Closest
3311,골드 버프 대지 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Earth,None,0,311,Closest
3312,골드 버프 빛 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Light,None,0,312,Closest
3313,골드 버프 어둠 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Darkness,None,0,313,Closest
3401,골드 디버프 검 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Sword,0,401,Closest
3402,골드 디버프 활 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Bow,0,402,Closest
3403,골드 디버프 방패 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Shield,0,403,Closest
3404,골드 디버프 창 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Spear,0,404,Closest
3405,골드 디버프 도끼 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Axe,0,405,Closest
3406,골드 디버프 해머 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Hammer,0,406,Closest
3407,골드 디버프 불 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Fire,0,407,Closest
3408,골드 디버프 얼음 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Ice,0,408,Closest
3409,골드 디버프 번개 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Electricity,0,409,Closest
3410,골드 디버프 바람 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Wind,0,410,Closest
3411,골드 디버프 대지 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Earth,0,411,Closest
3412,골드 디버프 빛 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Light,0,412,Closest
3413,골드 디버프 어둠 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Darkness,0,413,Closest
4101,미스릴 광역 검 타워,1,2,1,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,101,Closest
4102,미스릴 광역 활 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,102,Closest
4103,미스릴 광역 방패 타워,1,2,1,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,103,Closest
4104,미스릴 광역 창 타워,1,2,1,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,104,Closest
4105,미스릴 광역 도끼 타워,1,2,1,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,105,Closest
4106,미스릴 광역 해머 타워,1,2,1,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,106,Closest
4107,미스릴 광역 불 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,107,Closest
4108,미스릴 광역 얼음 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,108,Closest
4109,미스릴 광역 번개 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,109,Closest
4110,미스릴 광역 바람 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,110,Closest
4111,미스릴 광역 대지 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,111,Closest
4112,미스릴 광역 빛 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,112,Closest
4113,미스릴 광역 어둠 타워,1,2,2,3,1,2,0,FALSE,0.5,0.5,3,10,Splash,Enemy,None,None,5,113,Closest
4201,미스릴 단일 검 타워,1,2,1,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,201,Closest
4202,미스릴 단일 활 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,202,Closest
4203,미스릴 단일 방패 타워,1,2,1,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,203,Closest
4204,미스릴 단일 창 타워,1,2,1,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,204,Closest
4205,미스릴 단일 도끼 타워,1,2,1,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,205,Closest
4206,미스릴 단일 해머 타워,1,2,1,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,206,Closest
4207,미스릴 단일 불 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,207,Closest
4208,미스릴 단일 얼음 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,208,Closest
4209,미스릴 단일 번개 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,209,Closest
4210,미스릴 단일 바람 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,210,Closest
4211,미스릴 단일 대지 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,211,Closest
4212,미스릴 단일 빛 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,212,Closest
4213,미스릴 단일 어둠 타워,1,2,2,3,1,0,2,FALSE,0.5,0.5,3,10,Target,Enemy,None,None,10,213,Closest
4301,미스릴 버프 검 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Sword,None,0,301,Closest
4302,미스릴 버프 활 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Bow,None,0,302,Closest
4303,미스릴 버프 방패 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Shield,None,0,303,Closest
4304,미스릴 버프 창 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Spear,None,0,304,Closest
4305,미스릴 버프 도끼 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Axe,None,0,305,Closest
4306,미스릴 버프 해머 타워,1,2,1,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Hammer,None,0,306,Closest
4307,미스릴 버프 불 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Fire,None,0,307,Closest
4308,미스릴 버프 얼음 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Ice,None,0,308,Closest
4309,미스릴 버프 번개 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Electricity,None,0,309,Closest
4310,미스릴 버프 바람 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Wind,None,0,310,Closest
4311,미스릴 버프 대지 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Earth,None,0,311,Closest
4312,미스릴 버프 빛 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Light,None,0,312,Closest
4313,미스릴 버프 어둠 타워,1,2,2,3,1,0,0,FALSE,0.5,0.5,3,10,Buff,Tower,Darkness,None,0,313,Closest
4401,미스릴 디버프 검 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Sword,0,401,Closest
4402,미스릴 디버프 활 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Bow,0,402,Closest
4403,미스릴 디버프 방패 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Shield,0,403,Closest
4404,미스릴 디버프 창 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Spear,0,404,Closest
4405,미스릴 디버프 도끼 타워,1,2,20,3,1,0,0,FALSE,0.5,0.5,3,10,Debuff,Enemy,None,Axe,0,405,Closest
