ID,Name,towerLevel,attackDamage,attackRange,attackSpeed,IsCritical,criticalRate,criticalDamage,duration,abilityValue,attackType,targetLayer,buffTarget,debuffTarget,,BaseDamage,CriticalDamage,,Average D,Average Cr,,,
5401,(버프) 검 타워,1,0,7,1,FALSE,0,0,1,5,Buff,Tower,Damage,None,,0,0,,75,75,,-75,-75
,,,,,,,,,,,,,,,,,,,,,,,
1102,(광역) 활 타워,1,1.55,2.75,0.35,FALSE,0.05,0.09,0.5,8.6957,Splash,Enemy,None,None,,32.55,34.32,,25.54,27.01,,7.01,7.31
1202,(단일) 활 타워,1,1.28,2.75,0.53,FALSE,0.08,0.05,0,0,Target,Enemy,None,None,,40.7,44.12,,33.96,36.51,,6.74,7.61
1302,(함정) 활 타워,1,8,2.75,0.015,FALSE,0,0,30,0,Trap,Enemy,None,None,,7.2,7.2,,9.08,9.08,,-1.88,-1.88
1402,(버프) 활 타워,1,0,1,1,FALSE,0,0,1,1.2,Buff,Tower,Range,None,,0,0,,7.5,7.5,,-7.5,-7.5
2102,(광역) 활 타워,1,2.79,2.75,0.74,FALSE,0.06,0.11,0.75,25,Splash,Enemy,None,None,,123.88,132.13,,96.69,103.51,,27.19,28.62
2202,(단일) 활 타워,1,2.18,2.75,1.17,FALSE,0.096,0.06,0,0,Target,Enemy,None,None,,153.04,168.61,,127.57,139.41,,25.47,29.2
2302,(함정) 활 타워,1,16,2.75,0.03,FALSE,0,0,30,0,Trap,Enemy,None,None,,28.8,28.8,,38.28,38.28,,-9.48,-9.48
2402,(버프) 활 타워,1,0,1,1,FALSE,0,0,1,1.4,Buff,Tower,Range,None,,0,0,,15,15,,-15,-15
3102,(광역) 활 타워,1,6.28,2.75,1.63,FALSE,0.084,0.17,1,60,Splash,Enemy,None,None,,614.18,674.54,,479.72,530,,134.46,144.54
3202,(단일) 활 타워,1,4.36,2.75,2.81,FALSE,0.1344,0.09,0,0,Target,Enemy,None,None,,735.1,842.79,,612.57,699.51,,122.53,143.28
3302,(함정) 활 타워,1,40,2.75,0.07,FALSE,0,0,30,0,Trap,Enemy,None,None,,168,168,,208.8,208.8,,-40.8,-40.8
3402,(버프) 활 타워,1,0,2,1,FALSE,0,0,1,2,Buff,Tower,Range,None,,0,0,,22.5,22.5,,-22.5,-22.5
4102,(광역) 활 타워,1,18.84,3.03,4.08,FALSE,0.1344,0.34,1.5,150,Splash,Enemy,None,None,,4612.03,5442.64,,3601.59,4306.1,,1010.44,1136.54
4202,(단일) 활 타워,1,13.08,3.03,7.73,FALSE,0.21504,0.18,0,0,Target,Enemy,None,None,,6066.5,7605.86,,5055.35,6489.95,,1011.15,1115.91
4302,(함정) 활 타워,1,120,3.03,0.18,FALSE,0,0,30,0,Trap,Enemy,None,None,,1296,1296,,1570.5,1570.5,,-274.5,-274.5
4402,(버프) 활 타워,1,0,4,1,FALSE,0,0,1,3,Buff,Tower,Range,None,,0,0,,37.5,37.5,,-37.5,-37.5
5102,(광역) 활 타워,1,79.13,3.79,12.24,FALSE,0.24192,0.95,2.5,525,Splash,Enemy,None,None,,58113.07,85527.56,,45381.34,69583.23,,12731.73,15944.33
5202,(단일) 활 타워,1,65.4,3.79,30.92,FALSE,0.387072,0.5,0,0,Target,Enemy,None,None,,121330.08,191775.3,,101106.9,189869.9,,20223.18,1905.4
5302,(함정) 활 타워,1,600,3.79,0.54,FALSE,0,0,30,0,Trap,Enemy,None,None,,19440,19440,,23557.5,23557.5,,-4117.5,-4117.5
5402,(버프) 활 타워,1,0,7,1,FALSE,0,0,1,5,Buff,Tower,Range,None,,0,0,,75,75,,-75,-75
,,,,,,,,,,,,,,,,,,,,,,,
1103,(광역) 방패 타워,1,1.1,2,0.15,FALSE,0.05,0.1,0.1,8.6957,Splash,Enemy,None,Stun,,9.9,10.44,,25.54,27.01,,-15.64,-16.57
1203,(단일) 방패 타워,1,2.4,2,0.28,FALSE,0.07,0.09,0,0,Target,Enemy,None,None,,40.32,43.4,,33.96,36.51,,6.36,6.89
1303,(함정) 방패 타워,1,0,2,0.005,FALSE,0,0,5,0,Trap,Enemy,None,None,,0,0,,9.08,9.08,,-9.08,-9.08
1403,(버프) 방패 타워,1,0,3,1,FALSE,0,0,1,8.6957,Debuff,Enemy,None,Defense,,0,0,,7.5,7.5,,-7.5,-7.5
2103,(광역) 방패 타워,1,1.98,2,0.32,FALSE,0.06,0.12,0.15,25,Splash,Enemy,None,Stun,,38.02,40.57,,96.69,103.51,,-58.67,-62.94
2203,(단일) 방패 타워,1,4.08,2,0.62,FALSE,0.084,0.11,0,0,Target,Enemy,None,None,,151.78,165.93,,127.57,139.41,,24.21,26.52
2303,(함정) 방패 타워,1,0,2,0.01,FALSE,0,0,5,0,Trap,Enemy,None,None,,0,0,,38.28,38.28,,-38.28,-38.28
2403,(버프) 방패 타워,1,0,3,1,FALSE,0,0,1,25,Debuff,Enemy,None,Defense,,0,0,,15,15,,-15,-15
3103,(광역) 방패 타워,1,4.46,2,0.7,FALSE,0.084,0.18,0.2,60,Splash,Enemy,None,Stun,,187.32,205.89,,479.72,530,,-292.4,-324.11
3203,(단일) 방패 타워,1,8.16,2,1.49,FALSE,0.1176,0.17,0,0,Target,Enemy,None,None,,729.5,829.87,,612.57,699.51,,116.93,130.36
3303,(함정) 방패 타워,1,0,2,0.02,FALSE,0,0,5,0,Trap,Enemy,None,None,,0,0,,208.8,208.8,,-208.8,-208.8
3403,(버프) 방패 타워,1,0,4,1,FALSE,0,0,1,60,Debuff,Enemy,None,Defense,,0,0,,22.5,22.5,,-22.5,-22.5
4103,(광역) 방패 타워,1,13.38,2.2,1.75,FALSE,0.1344,0.36,0.3,150,Splash,Enemy,None,Stun,,1404.9,1661.69,,3601.59,4306.1,,-2196.69,-2644.41
4203,(단일) 방패 타워,1,24.48,2.2,4.1,FALSE,0.18816,0.34,0,0,Target,Enemy,None,None,,6022.08,7540.45,,5055.35,6489.95,,966.73,1050.5
4303,(함정) 방패 타워,1,0,2.2,0.05,FALSE,0,0,5,0,Trap,Enemy,None,None,,0,0,,1570.5,1570.5,,-1570.5,-1570.5
4403,(버프) 방패 타워,1,0,6,1,FALSE,0,0,1,150,Debuff,Enemy,None,Defense,,0,0,,37.5,37.5,,-37.5,-37.5
5103,(광역) 방패 타워,1,56.2,2.75,5.25,FALSE,0.24192,1.01,0.5,525,Splash,Enemy,None,Stun,,17703,26311.25,,45381.34,69583.23,,-27678.34,-43271.98
5203,(단일) 방패 타워,1,122.4,2.75,16.4,FALSE,0.338688,0.95,0,0,Target,Enemy,None,None,,120441.6,199986.24,,101106.9,189869.9,,19334.7,10116.34
5303,(함정) 방패 타워,1,0,2.75,0.15,FALSE,0,0,5,0,Trap,Enemy,None,None,,0,0,,23557.5,23557.5,,-23557.5,-23557.5
5403,(버프) 방패 타워,1,0,9,1,FALSE,0,0,1,525,Debuff,Enemy,None,Defense,,0,0,,75,75,,-75,-75
,,,,,,,,,,,,,,,,,,,,,,,
1104,(광역) 창 타워,1,1.76,2.25,0.3,FALSE,0.105,0.035,0.5,8.6957,Splash,Enemy,None,None,,31.68,35.12,,25.54,27.01,,6.14,8.11
1204,(단일) 창 타워,1,1.35,2.25,0.5,FALSE,0.12,0.025,0,0,Target,Enemy,None,None,,40.5,45.48,,33.96,36.51,,6.54,8.97
1304,(함정) 창 타워,1,4,2.25,0.045,FALSE,0,0,30,0,Trap,Enemy,None,None,,10.8,10.8,,9.08,9.08,,1.72,1.72
1404,(버프) 창 타워,1,0,1,1,FALSE,0,0,1,1.2,Buff,Tower,CriticalRate,None,,0,0,,7.5,7.5,,-7.5,-7.5
2104,(광역) 창 타워,1,3.17,2.25,0.63,FALSE,0.126,0.04,0.75,25,Splash,Enemy,None,None,,119.83,135.53,,96.69,103.51,,23.14,32.02
2204,(단일) 창 타워,1,2.3,2.25,1.1,FALSE,0.144,0.03,0,0,Target,Enemy,None,None,,151.8,174.31,,127.57,139.41,,24.23,34.9
2304,(함정) 창 타워,1,8,2.25,0.09,FALSE,0,0,30,0,Trap,Enemy,None,None,,43.2,43.2,,38.28,38.28,,4.92,4.92
2404,(버프) 창 타워,1,0,1,1,FALSE,0,0,1,1.4,Buff,Tower,CriticalRate,None,,0,0,,15,15,,-15,-15
3104,(광역) 창 타워,1,7.13,2.25,1.39,FALSE,0.1764,0.06,1,60,Splash,Enemy,None,None,,594.64,705.83,,479.72,530,,114.92,175.83
3204,(단일) 창 타워,1,4.6,2.25,2.64,FALSE,0.2016,0.05,0,0,Target,Enemy,None,None,,728.64,882.88,,612.57,699.51,,116.07,183.37
3304,(함정) 창 타워,1,20,2.25,0.2,FALSE,0,0,30,0,Trap,Enemy,None,None,,240,240,,208.8,208.8,,31.2,31.2
3404,(버프) 창 타워,1,0,2,1,FALSE,0,0,1,2,Buff,Tower,CriticalRate,None,,0,0,,22.5,22.5,,-22.5,-22.5
4104,(광역) 창 타워,1,21.39,2.48,3.48,FALSE,0.28224,0.12,1.5,150,Splash,Enemy,None,None,,4466.23,5878.04,,3601.59,4306.1,,864.64,1571.94
4204,(단일) 창 타워,1,13.8,2.48,7.26,FALSE,0.32256,0.1,0,0,Target,Enemy,None,None,,6011.28,8144.18,,5055.35,6489.95,,955.93,1654.23
4304,(함정) 창 타워,1,60,2.48,0.5,FALSE,0,0,30,0,Trap,Enemy,None,None,,1800,1800,,1570.5,1570.5,,229.5,229.5
4404,(버프) 창 타워,1,0,4,1,FALSE,0,0,1,3,Buff,Tower,CriticalRate,None,,0,0,,37.5,37.5,,-37.5,-37.5
5104,(광역) 창 타워,1,89.84,3.1,10.44,FALSE,0.508032,0.34,2.5,525,Splash,Enemy,None,None,,56275.78,94586.24,,45381.34,69583.23,,10894.44,25003.01
5204,(단일) 창 타워,1,69,3.1,29.04,FALSE,0.580608,0.28,0,0,Target,Enemy,None,None,,120225.6,209574.65,,101106.9,189869.9,,19118.7,19704.75
5304,(함정) 창 타워,1,300,3.1,1.5,FALSE,0,0,30,0,Trap,Enemy,None,None,,27000,27000,,23557.5,23557.5,,3442.5,3442.5
5404,(버프) 창 타워,1,0,7,1,FALSE,0,0,1,5,Buff,Tower,CriticalRate,None,,0,0,,75,75,,-75,-75
,,,,,,,,,,,,,,,,,,,,,,,
1105,(광역) 도끼 타워,1,2.15,2.1,0.18,FALSE,0.0025,5.5,0.5,8.6957,Splash,Enemy,None,None,,23.22,23.6,,25.54,27.01,,-2.32,-3.41
1205,(단일) 도끼 타워,1,2.5,2.1,0.2,FALSE,0.0045,4.2,0,0,Target,Enemy,None,None,,30,30.7,,33.96,36.51,,-3.96,-5.81
1305,(함정) 도끼 타워,1,3,2.1,0.05,FALSE,0,0,30,0,Trap,Enemy,None,None,,9,9,,9.08,9.08,,-0.08,-0.08
1405,(버프) 도끼 타워,1,0,1,1,FALSE,0,0,1,1.2,Buff,Tower,CriticalDamage,None,,0,0,,7.5,7.5,,-7.5,-7.5
2105,(광역) 도끼 타워,1,3.87,2.1,0.38,FALSE,0.003,6.6,0.75,25,Splash,Enemy,None,None,,88.24,90.25,,96.69,103.51,,-8.45,-13.26
2205,(단일) 도끼 타워,1,4.25,2.1,0.44,FALSE,0.0054,5.04,0,0,Target,Enemy,None,None,,112.2,115.86,,127.57,139.41,,-15.37,-23.55
2305,(함정) 도끼 타워,1,6,2.1,0.11,FALSE,0,0,30,0,Trap,Enemy,None,None,,39.6,39.6,,38.28,38.28,,1.32,1.32
2405,(버프) 도끼 타워,1,0,1,1,FALSE,0,0,1,1.4,Buff,Tower,CriticalDamage,None,,0,0,,15,15,,-15,-15
3105,(광역) 도끼 타워,1,8.71,2.1,0.84,FALSE,0.0042,9.9,1,60,Splash,Enemy,None,None,,438.98,459.08,,479.72,530,,-40.74,-70.92
3205,(단일) 도끼 타워,1,8.5,2.1,1.06,FALSE,0.00756,7.56,0,0,Target,Enemy,None,None,,540.6,575.58,,612.57,699.51,,-71.97,-123.93
3305,(함정) 도끼 타워,1,15,2.1,0.24,FALSE,0,0,30,0,Trap,Enemy,None,None,,216,216,,208.8,208.8,,7.2,7.2
3405,(버프) 도끼 타워,1,0,2,1,FALSE,0,0,1,2,Buff,Tower,CriticalDamage,None,,0,0,,22.5,22.5,,-22.5,-22.5
4105,(광역) 도끼 타워,1,26.13,2.31,2.1,FALSE,0.00672,19.8,1.5,150,Splash,Enemy,None,None,,3292.38,3752.58,,3601.59,4306.1,,-309.21,-553.52
4205,(단일) 도끼 타워,1,25.5,2.31,2.92,FALSE,0.012096,15.12,0,0,Target,Enemy,None,None,,4467.6,5338.73,,5055.35,6489.95,,-587.75,-1151.22
4305,(함정) 도끼 타워,1,45,2.31,0.6,FALSE,0,0,30,0,Trap,Enemy,None,None,,1620,1620,,1570.5,1570.5,,49.5,49.5
4405,(버프) 도끼 타워,1,0,4,1,FALSE,0,0,1,3,Buff,Tower,CriticalDamage,None,,0,0,,37.5,37.5,,-37.5,-37.5
5105,(광역) 도끼 타워,1,109.75,2.89,6.3,FALSE,0.012096,55.44,2.5,525,Splash,Enemy,None,None,,41485.5,69807.58,,45381.34,69583.23,,-3895.84,224.35
5205,(단일) 도끼 타워,1,127.5,2.89,11.68,FALSE,0.0217728,42.34,0,0,Target,Enemy,None,None,,89352,173667.51,,101106.9,189869.9,,-11754.9,-16202.39
5305,(함정) 도끼 타워,1,225,2.89,1.8,FALSE,0,0,30,0,Trap,Enemy,None,None,,24300,24300,,23557.5,23557.5,,742.5,742.5
5405,(버프) 도끼 타워,1,0,7,1,FALSE,0,0,1,5,Buff,Tower,CriticalDamage,None,,0,0,,75,75,,-75,-75
,,,,,,,,,,,,,,,,,,,,,,,
1106,(광역) 불 타워,1,4.1,2.5,0.12,FALSE,0.01,0.028,0.5,10,Splash,Enemy,None,DotDamage,,29.52,29.82,,25.54,27.01,,3.98,2.81
1206,(단일) 불 타워,1,3.4,2.5,0.18,FALSE,0.02,0.019,0,0,Target,Enemy,None,None,,36.72,37.47,,33.96,36.51,,2.76,0.96
1306,(함정) 불 타워,1,3.2,2.5,0.05,FALSE,0,0,30,0,Trap,Enemy,None,None,,9.6,9.6,,9.08,9.08,,0.52,0.52
1406,(버프) 불 타워,1,0,1,1,FALSE,0,0,1,10,Buff,Tower,DotDamage,None,,0,0,,7.5,7.5,,-7.5,-7.5
2106,(광역) 불 타워,1,7.38,2.5,0.25,FALSE,0.012,0.03,0.75,50,Splash,Enemy,None,DotDamage,,110.7,112.07,,96.69,103.51,,14.01,8.56
2206,(단일) 불 타워,1,5.78,2.5,0.4,FALSE,0.024,0.02,0,0,Target,Enemy,None,None,,138.72,142.12,,127.57,139.41,,11.15,2.71
2306,(함정) 불 타워,1,6.4,2.5,0.11,FALSE,0,0,30,0,Trap,Enemy,None,None,,42.24,42.24,,38.28,38.28,,3.96,3.96
2406,(버프) 불 타워,1,0,1,1,FALSE,0,0,1,50,Buff,Tower,DotDamage,None,,0,0,,15,15,,-15,-15
3106,(광역) 불 타워,1,16.61,2.5,0.55,FALSE,0.0168,0.05,1,120,Splash,Enemy,None,DotDamage,,548.13,557.8,,479.72,530,,68.41,27.8
3206,(단일) 불 타워,1,11.56,2.5,0.96,FALSE,0.0336,0.03,0,0,Target,Enemy,None,None,,665.86,688.9,,612.57,699.51,,53.29,-10.61
3306,(함정) 불 타워,1,16,2.5,0.24,FALSE,0,0,30,0,Trap,Enemy,None,None,,230.4,230.4,,208.8,208.8,,21.6,21.6
3406,(버프) 불 타워,1,0,2,1,FALSE,0,0,1,120,Buff,Tower,DotDamage,None,,0,0,,22.5,22.5,,-22.5,-22.5
4106,(광역) 불 타워,1,49.83,2.75,1.38,FALSE,0.02688,0.1,1.5,500,Splash,Enemy,None,DotDamage,,4125.92,4247.92,,3601.59,4306.1,,524.33,-58.18
4206,(단일) 불 타워,1,34.68,2.75,2.64,FALSE,0.05376,0.06,0,0,Target,Enemy,None,None,,5493.31,5806.35,,5055.35,6489.95,,437.96,-683.6
4306,(함정) 불 타워,1,48,2.75,0.6,FALSE,0,0,30,0,Trap,Enemy,None,None,,1728,1728,,1570.5,1570.5,,157.5,157.5
4406,(버프) 불 타워,1,0,4,1,FALSE,0,0,1,500,Buff,Tower,DotDamage,None,,0,0,,37.5,37.5,,-37.5,-37.5
5106,(광역) 불 타워,1,209.29,3.44,4.14,FALSE,0.048384,0.28,2.5,1500,Splash,Enemy,None,DotDamage,,51987.64,55207.31,,45381.34,69583.23,,6606.3,-14375.92
5206,(단일) 불 타워,1,173.4,3.44,10.56,FALSE,0.096768,0.17,0,0,Target,Enemy,None,None,,109866.24,122305.14,,101106.9,189869.9,,8759.34,-67564.76
5306,(함정) 불 타워,1,240,3.44,1.8,FALSE,0,0,30,0,Trap,Enemy,None,None,,25920,25920,,23557.5,23557.5,,2362.5,2362.5
5406,(버프) 불 타워,1,0,7,1,FALSE,0,0,1,1500,Buff,Tower,DotDamage,None,,0,0,,75,75,,-75,-75
,,,,,,,,,,,,,,,,,,,,,,,
1107,(광역) 얼음 타워,1,4.7,2.5,0.05,FALSE,0.22,0.047,0.5,8.6957,Splash,Enemy,None,Slow,,14.1,17.35,,25.54,27.01,,-11.44,-9.66
1207,(단일) 얼음 타워,1,8,2.5,0.07,FALSE,0.17,0.028,0,0,Target,Enemy,None,None,,33.6,39.47,,33.96,36.51,,-0.36,2.96
1307,(함정) 얼음 타워,1,50,2.5,0.005,FALSE,0,0,30,525,Trap,Enemy,None,None,,15,15,,9.08,9.08,,5.92,5.92
1407,(버프) 얼음 타워,1,0,3,1,FALSE,0,0,1,8.6957,Debuff,Enemy,None,Slow,,0,0,,7.5,7.5,,-7.5,-7.5
2107,(광역) 얼음 타워,1,8.46,2.5,0.11,FALSE,0.264,0.06,0.75,25,Splash,Enemy,None,Slow,,55.84,71.47,,96.69,103.51,,-40.85,-32.04
2207,(단일) 얼음 타워,1,13.6,2.5,0.15,FALSE,0.204,0.03,0,0,Target,Enemy,None,None,,122.4,148.12,,127.57,139.41,,-5.17,8.71
2307,(함정) 얼음 타워,1,100,2.5,0.01,FALSE,0,0,30,1500,Trap,Enemy,None,None,,60,60,,38.28,38.28,,21.72,21.72
2407,(버프) 얼음 타워,1,0,3,1,FALSE,0,0,1,25,Debuff,Enemy,None,Slow,,0,0,,15,15,,-15,-15
3107,(광역) 얼음 타워,1,19.04,2.5,0.24,FALSE,0.3696,0.09,1,60,Splash,Enemy,None,Slow,,274.18,384.64,,479.72,530,,-205.54,-145.36
3207,(단일) 얼음 타워,1,27.2,2.5,0.36,FALSE,0.2856,0.05,0,0,Target,Enemy,None,None,,587.52,763.71,,612.57,699.51,,-25.05,64.2
3307,(함정) 얼음 타워,1,250,2.5,0.02,FALSE,0,0,30,3750,Trap,Enemy,None,None,,300,300,,208.8,208.8,,91.2,91.2
3407,(버프) 얼음 타워,1,0,4,1,FALSE,0,0,1,60,Debuff,Enemy,None,Slow,,0,0,,22.5,22.5,,-22.5,-22.5
4107,(광역) 얼음 타워,1,57.12,2.75,0.6,FALSE,0.59136,0.18,1.5,150,Splash,Enemy,None,Slow,,2056.32,3491.23,,3601.59,4306.1,,-1545.27,-814.87
4207,(단일) 얼음 타워,1,81.6,2.75,0.99,FALSE,0.45696,0.1,0,0,Target,Enemy,None,None,,4847.04,7283.43,,5055.35,6489.95,,-208.31,793.48
4307,(함정) 얼음 타워,1,750,2.75,0.05,FALSE,0,0,30,7500,Trap,Enemy,None,None,,2250,2250,,1570.5,1570.5,,679.5,679.5
4407,(버프) 얼음 타워,1,0,6,1,FALSE,0,0,1,150,Debuff,Enemy,None,Slow,,0,0,,37.5,37.5,,-37.5,-37.5
5107,(광역) 얼음 타워,1,239.9,3.44,1.8,FALSE,1,0.5,2.5,525,Splash,Enemy,None,Slow,,25909.2,64773,,45381.34,69583.23,,-19472.14,-4810.23
5207,(단일) 얼음 타워,1,408,3.44,3.96,FALSE,0.822528,0.28,0,0,Target,Enemy,None,None,,96940.8,199003.55,,101106.9,189869.9,,-4166.1,9133.65
5307,(함정) 얼음 타워,1,3750,3.44,0.15,FALSE,0,0,30,20000,Trap,Enemy,None,None,,33750,33750,,23557.5,23557.5,,10192.5,10192.5
5407,(버프) 얼음 타워,1,0,9,1,FALSE,0,0,1,525,Debuff,Enemy,None,Slow,,0,0,,75,75,,-75,-75
,,,,,,,,,,,,,,,,,,,,,,,
1108,(광역) 전기 타워,1,0.71,2.5,0.45,FALSE,0.005,4,0.5,8.6957,Splash,Enemy,None,Weak,,19.17,19.65,,25.54,27.01,,-6.37,-7.36
1208,(단일) 전기 타워,1,0.55,2.5,0.62,FALSE,0.008,3.3,0,0,Target,Enemy,None,None,,20.46,21.16,,33.96,36.51,,-13.5,-15.35
1308,(함정) 전기 타워,1,5,2.5,0.05,FALSE,0,0,30,0,Trap,Enemy,None,None,,15,15,,9.08,9.08,,5.92,5.92
1408,(버프) 전기 타워,1,1,1,1,FALSE,0,0,1,10,Buff,Tower,Chain,None,,60,60,,7.5,7.5,,52.5,52.5
2108,(광역) 전기 타워,1,1.28,2.5,0.95,FALSE,0.006,4.8,0.75,25,Splash,Enemy,None,Weak,,72.96,75.5,,96.69,103.51,,-23.73,-28.01
2208,(단일) 전기 타워,1,0.94,2.5,1.36,FALSE,0.0096,3.96,0,0,Target,Enemy,None,None,,76.7,80.35,,127.57,139.41,,-50.87,-59.06
2308,(함정) 전기 타워,1,10,2.5,0.11,FALSE,0,0,30,0,Trap,Enemy,None,None,,66,66,,38.28,38.28,,27.72,27.72
2408,(버프) 전기 타워,1,2,1,1,FALSE,0,0,1,50,Buff,Tower,Chain,None,,120,120,,15,15,,105,105
3108,(광역) 전기 타워,1,2.88,2.5,2.09,FALSE,0.0084,7.2,1,60,Splash,Enemy,None,Weak,,361.15,386.03,,479.72,530,,-118.57,-143.97
3208,(단일) 전기 타워,1,1.88,2.5,3.26,FALSE,0.01344,5.94,0,0,Target,Enemy,None,None,,367.73,402.03,,612.57,699.51,,-244.84,-297.48
3308,(함정) 전기 타워,1,25,2.5,0.24,FALSE,0,0,30,0,Trap,Enemy,None,None,,360,360,,208.8,208.8,,151.2,151.2
3408,(버프) 전기 타워,1,3,2,1,FALSE,0,0,1,120,Buff,Tower,Chain,None,,180,180,,22.5,22.5,,157.5,157.5
4108,(광역) 전기 타워,1,8.64,2.75,5.23,FALSE,0.01344,14.4,1.5,150,Splash,Enemy,None,Weak,,2711.23,3272.39,,3601.59,4306.1,,-890.36,-1033.71
4208,(단일) 전기 타워,1,5.64,2.75,8.97,FALSE,0.021504,11.88,0,0,Target,Enemy,None,None,,3035.45,3876.18,,5055.35,6489.95,,-2019.9,-2613.77
4308,(함정) 전기 타워,1,75,2.75,0.6,FALSE,0,0,30,0,Trap,Enemy,None,None,,2700,2700,,1570.5,1570.5,,1129.5,1129.5
4408,(버프) 전기 타워,1,5,4,1,FALSE,0,0,1,500,Buff,Tower,Chain,None,,300,300,,37.5,37.5,,262.5,262.5
5108,(광역) 전기 타워,1,36.29,3.44,15.69,FALSE,0.024192,40.32,2.5,525,Splash,Enemy,None,Weak,,34163.41,68313.61,,45381.34,69583.23,,-11217.93,-1269.62
5208,(단일) 전기 타워,1,28.2,3.44,35.88,FALSE,0.0387072,33.26,0,0,Target,Enemy,None,None,,60708.96,141215.64,,101106.9,189869.9,,-40397.94,-48654.26
5308,(함정) 전기 타워,1,375,3.44,1.8,FALSE,0,0,30,0,Trap,Enemy,None,None,,40500,40500,,23557.5,23557.5,,16942.5,16942.5
5408,(버프) 전기 타워,1,10,7,1,FALSE,0,0,1,1500,Buff,Tower,Chain,None,,600,600,,75,75,,525,525
,,,,,,,,,,,,,,,,,,,,,,,
1109,(광역) 바람 타워,1,2.2,2.5,0.18,FALSE,0.14,0.01,0.5,8.6957,Splash,Enemy,None,Push,,23.76,27.12,,25.54,27.01,,-1.78,0.11
1209,(단일) 바람 타워,1,0.4,2.5,0.87,FALSE,0.101,0.65,0,0,Target,Enemy,None,None,,20.88,24.36,,33.96,36.51,,-13.08,-12.15
1309,(함정) 바람 타워,1,2,2.5,0.1,FALSE,0,0,30,0,Trap,Enemy,None,None,,12,12,,9.08,9.08,,2.92,2.92
1409,(버프) 바람 타워,1,0,1,1,FALSE,0,0,1,1.2,Buff,Tower,AttackSpeed,None,,0,0,,7.5,7.5,,-7.5,-7.5
2109,(광역) 바람 타워,1,3.96,2.5,0.38,FALSE,0.168,0.01,0.75,25,Splash,Enemy,None,Push,,90.29,105.61,,96.69,103.51,,-6.4,2.1
